Ax,Ay,Az,Gx,Gy,Gz,Label
0.010,-0.001,1.010,0.403,-3.342,0.306,Idle
0.010,-0.001,1.011,0.368,-3.325,0.298,Idle
0.012,-0.001,1.012,0.359,-3.334,0.298,Idle
0.011,-0.001,1.010,0.359,-3.342,0.228,Idle
0.010,-0.001,1.010,0.341,-3.360,0.262,Idle
0.011,-0.000,1.010,0.368,-3.325,0.289,Idle
0.011,-0.001,1.012,0.385,-3.360,0.262,Idle
0.010,-0.000,1.012,0.403,-3.369,0.289,Idle
0.011,-0.001,1.011,0.394,-3.351,0.306,Idle
0.011,-0.001,1.011,0.368,-3.334,0.254,Idle
0.010,-0.001,1.011,0.376,-3.351,0.289,Idle
0.010,-0.000,1.010,0.385,-3.342,0.280,Idle
0.010,-0.001,1.010,0.376,-3.351,0.254,Idle
0.010,-0.001,1.010,0.333,-3.360,0.254,Idle
0.010,-0.001,1.011,0.385,-3.404,0.245,Idle
0.011,0.000,1.011,0.359,-3.334,0.254,Idle
0.010,-0.000,1.011,0.394,-3.360,0.271,Idle
0.010,-0.001,1.012,0.411,-3.378,0.236,Idle
0.011,-0.001,1.011,0.376,-3.307,0.280,Idle
0.011,-0.001,1.010,0.368,-3.316,0.298,Idle
0.011,-0.000,1.011,0.315,-3.334,0.289,Idle
0.011,-0.001,1.011,0.368,-3.342,0.280,Idle
0.012,-0.000,1.011,0.350,-3.386,0.254,Idle
0.011,-0.000,1.011,0.368,-3.334,0.271,Idle
0.010,-0.001,1.011,0.368,-3.360,0.280,Idle
0.011,-0.001,1.010,0.359,-3.342,0.254,Idle
0.011,-0.001,1.011,0.341,-3.342,0.262,Idle
0.010,-0.001,1.011,0.341,-3.395,0.289,Idle
0.011,0.000,1.011,0.368,-3.342,0.262,Idle
0.011,-0.000,1.012,0.376,-3.378,0.262,Idle
0.011,-0.001,1.011,0.324,-3.334,0.289,Idle
0.011,-0.000,1.011,0.376,-3.378,0.298,Idle
0.010,-0.001,1.011,0.368,-3.360,0.289,Idle
0.011,-0.001,1.012,0.306,-3.369,0.315,Idle
0.011,-0.001,1.011,0.385,-3.369,0.298,Idle
0.010,-0.000,1.010,0.376,-3.369,0.254,Idle
0.010,-0.000,1.012,0.403,-3.360,0.271,Idle
0.011,0.000,1.011,0.333,-3.351,0.315,Idle
0.011,-0.000,1.010,0.403,-3.342,0.298,Idle
0.011,-0.000,1.012,0.411,-3.378,0.271,Idle
0.011,-0.000,1.012,0.368,-3.325,0.306,Idle
0.011,-0.001,1.011,0.341,-3.378,0.254,Idle
0.011,-0.000,1.011,0.394,-3.378,0.298,Idle
0.010,-0.001,1.011,0.394,-3.325,0.254,Idle
0.010,-0.001,1.012,0.324,-3.395,0.306,Idle
0.012,-0.001,1.011,0.385,-3.360,0.315,Idle
0.011,0.000,1.010,0.385,-3.351,0.289,Idle
0.009,-0.001,1.012,0.411,-3.351,0.280,Idle
0.011,-0.000,1.011,0.350,-3.307,0.280,Idle
0.010,-0.000,1.011,0.350,-3.378,0.245,Idle
0.011,-0.001,1.011,0.385,-3.342,0.289,Idle
0.010,-0.000,1.011,0.350,-3.334,0.324,Idle
0.011,-0.000,1.011,0.385,-3.307,0.245,Idle
0.011,0.000,1.011,0.403,-3.334,0.271,Idle
0.011,-0.001,1.011,0.403,-3.334,0.254,Idle
0.009,0.000,1.012,0.368,-3.316,0.254,Idle
0.010,-0.001,1.011,0.341,-3.316,0.306,Idle
0.011,-0.000,1.011,0.341,-3.325,0.262,Idle
0.010,-0.000,1.012,0.376,-3.369,0.262,Idle
0.010,-0.000,1.011,0.359,-3.360,0.271,Idle
0.011,0.000,1.010,0.359,-3.334,0.245,Idle
0.012,-0.000,1.011,0.376,-3.307,0.245,Idle
0.011,-0.000,1.010,0.333,-3.342,0.262,Idle
0.010,-0.001,1.013,0.376,-3.325,0.289,Idle
0.010,-0.000,1.011,0.385,-3.360,0.271,Idle
0.010,-0.001,1.011,0.341,-3.369,0.298,Idle
0.011,-0.001,1.011,0.376,-3.342,0.271,Idle
0.009,-0.000,1.012,0.403,-3.342,0.271,Idle
0.011,-0.000,1.012,0.376,-3.325,0.254,Idle
0.011,-0.001,1.011,0.306,-3.351,0.280,Idle
0.011,0.000,1.011,0.394,-3.299,0.271,Idle
0.011,-0.001,1.011,0.376,-3.351,0.236,Idle
0.011,-0.001,1.011,0.341,-3.360,0.280,Idle
0.011,-0.001,1.011,0.376,-3.342,0.254,Idle
0.010,0.000,1.011,0.385,-3.325,0.254,Idle
0.011,-0.000,1.011,0.385,-3.360,0.289,Idle
0.011,-0.001,1.012,0.359,-3.369,0.280,Idle
0.011,-0.000,1.010,0.411,-3.342,0.254,Idle
0.011,0.000,1.011,0.333,-3.316,0.254,Idle
0.010,-0.002,1.010,0.341,-3.369,0.262,Idle
0.011,0.001,1.013,0.359,-3.360,0.262,Idle
0.011,-0.002,1.012,0.376,-3.325,0.254,Idle
0.010,0.000,1.011,0.403,-3.351,0.280,Idle
0.011,-0.002,1.011,0.376,-3.316,0.245,Idle
0.011,-0.001,1.010,0.429,-3.342,0.245,Idle
0.011,-0.000,1.011,0.350,-3.325,0.254,Idle
0.011,-0.001,1.011,0.359,-3.378,0.306,Idle
0.010,0.000,1.011,0.350,-3.325,0.298,Idle
0.011,-0.001,1.010,0.368,-3.290,0.289,Idle
0.012,0.000,1.011,0.359,-3.360,0.306,Idle
0.011,-0.001,1.010,0.368,-3.360,0.298,Idle
0.010,-0.000,1.012,0.420,-3.316,0.289,Idle
0.011,-0.001,1.011,0.359,-3.342,0.298,Idle
0.011,-0.000,1.012,0.368,-3.325,0.262,Idle
0.011,-0.001,1.010,0.324,-3.334,0.324,Idle
0.010,-0.001,1.013,0.376,-3.316,0.271,Idle
0.011,-0.000,1.011,0.368,-3.325,0.245,Idle
0.012,0.000,1.010,0.438,-3.316,0.271,Idle
0.010,-0.001,1.011,0.376,-3.325,0.254,Idle
0.010,-0.000,1.012,0.359,-3.307,0.254,Idle
0.011,-0.000,1.012,0.359,-3.351,0.254,Idle
0.011,-0.001,1.011,0.359,-3.334,0.271,Idle
0.011,-0.000,1.012,0.394,-3.325,0.262,Idle
0.010,-0.001,1.011,0.385,-3.342,0.262,Idle
0.011,-0.001,1.011,0.350,-3.342,0.254,Idle
0.010,-0.000,1.010,0.350,-3.386,0.262,Idle
0.011,-0.001,1.011,0.350,-3.342,0.315,Idle
0.011,-0.001,1.012,0.306,-3.351,0.298,Idle
0.010,-0.000,1.011,0.403,-3.369,0.298,Idle
0.011,-0.000,1.011,0.403,-3.325,0.262,Idle
0.010,0.001,1.012,0.359,-3.369,0.262,Idle
0.012,-0.000,1.010,0.403,-3.342,0.289,Idle
0.011,-0.001,1.010,0.376,-3.360,0.271,Idle
0.011,-0.001,1.011,0.376,-3.360,0.289,Idle
0.010,0.001,1.011,0.350,-3.351,0.289,Idle
0.011,-0.001,1.012,0.394,-3.351,0.262,Idle
0.010,0.000,1.011,0.438,-3.378,0.262,Idle
0.012,0.000,1.012,0.403,-3.360,0.245,Idle
0.011,-0.000,1.011,0.455,-3.360,0.280,Idle
0.010,-0.001,1.011,0.350,-3.351,0.262,Idle
0.011,0.000,1.012,0.376,-3.281,0.289,Idle
0.011,-0.000,1.010,0.385,-3.369,0.262,Idle
0.011,-0.001,1.011,0.376,-3.369,0.298,Idle
0.009,-0.001,1.012,0.411,-3.342,0.262,Idle
0.011,-0.001,1.010,0.350,-3.316,0.271,Idle
0.011,-0.000,1.013,0.394,-3.369,0.289,Idle
0.011,0.001,1.011,0.359,-3.369,0.262,Idle
0.011,-0.000,1.011,0.359,-3.316,0.271,Idle
0.012,-0.001,1.012,0.341,-3.351,0.262,Idle
0.011,-0.002,1.011,0.411,-3.351,0.254,Idle
0.010,-0.001,1.011,0.394,-3.351,0.306,Idle
0.010,-0.001,1.012,0.359,-3.369,0.280,Idle
0.011,-0.001,1.011,0.368,-3.351,0.262,Idle
0.010,-0.001,1.011,0.385,-3.307,0.306,Idle
0.011,-0.001,1.012,0.403,-3.334,0.280,Idle
0.009,-0.001,1.012,0.368,-3.307,0.271,Idle
0.010,-0.000,1.011,0.429,-3.342,0.289,Idle
0.011,0.000,1.012,0.420,-3.334,0.262,Idle
0.010,-0.001,1.011,0.429,-3.307,0.306,Idle
0.010,-0.001,1.012,0.368,-3.290,0.271,Idle
0.010,-0.001,1.012,0.376,-3.351,0.289,Idle
0.010,-0.001,1.012,0.403,-3.334,0.262,Idle
0.011,-0.000,1.012,0.368,-3.325,0.262,Idle
0.011,-0.001,1.010,0.359,-3.360,0.280,Idle
0.011,-0.000,1.012,0.403,-3.334,0.245,Idle
0.011,-0.001,1.012,0.385,-3.264,0.289,Idle
0.010,-0.000,1.012,0.359,-3.342,0.280,Idle
0.011,-0.000,1.012,0.350,-3.316,0.262,Idle
0.010,-0.001,1.011,0.420,-3.316,0.254,Idle
0.011,-0.001,1.011,0.368,-3.360,0.271,Idle
0.010,0.000,1.011,0.385,-3.395,0.280,Idle
0.010,-0.000,1.011,0.376,-3.334,0.306,Idle
0.012,0.001,1.012,0.376,-3.351,0.262,Idle
0.011,-0.001,1.012,0.385,-3.325,0.271,Idle
0.011,-0.000,1.010,0.359,-3.378,0.289,Idle
0.010,-0.000,1.013,0.341,-3.316,0.254,Idle
0.010,-0.000,1.011,0.403,-3.369,0.262,Idle
0.011,-0.000,1.011,0.350,-3.351,0.236,Idle
0.011,0.000,1.011,0.341,-3.386,0.280,Idle
0.011,-0.001,1.012,0.394,-3.378,0.236,Idle
0.010,-0.001,1.012,0.376,-3.360,0.298,Idle
0.010,0.001,1.011,0.368,-3.351,0.254,Idle
0.010,-0.002,1.012,0.350,-3.307,0.289,Idle
0.010,-0.001,1.011,0.411,-3.334,0.254,Idle
0.010,-0.001,1.012,0.385,-3.360,0.254,Idle
0.011,-0.000,1.013,0.376,-3.342,0.262,Idle
0.010,-0.000,1.011,0.385,-3.342,0.280,Idle
0.011,-0.000,1.011,0.411,-3.369,0.228,Idle
0.011,0.000,1.011,0.385,-3.369,0.280,Idle
0.012,0.000,1.012,0.376,-3.360,0.262,Idle
0.011,-0.000,1.011,0.350,-3.360,0.245,Idle
0.010,-0.001,1.012,0.394,-3.316,0.324,Idle
0.011,0.000,1.011,0.368,-3.360,0.289,Idle
0.010,-0.001,1.012,0.403,-3.342,0.289,Idle
0.011,-0.000,1.011,0.385,-3.386,0.262,Idle
0.011,-0.001,1.011,0.385,-3.369,0.254,Idle
0.011,-0.001,1.012,0.376,-3.342,0.262,Idle
0.010,-0.001,1.011,0.315,-3.351,0.306,Idle
0.010,-0.001,1.010,0.394,-3.334,0.271,Idle
0.011,-0.000,1.011,0.385,-3.316,0.245,Idle
0.010,-0.000,1.011,0.411,-3.360,0.219,Idle
0.010,0.000,1.011,0.376,-3.334,0.271,Idle
0.011,-0.001,1.011,0.359,-3.342,0.298,Idle
0.011,-0.001,1.010,0.368,-3.360,0.280,Idle
0.010,-0.000,1.012,0.403,-3.325,0.280,Idle
0.010,-0.000,1.011,0.385,-3.351,0.280,Idle
0.011,-0.000,1.011,0.368,-3.334,0.262,Idle
0.011,-0.001,1.012,0.368,-3.342,0.271,Idle
0.010,-0.000,1.012,0.411,-3.307,0.289,Idle
0.010,-0.001,1.011,0.394,-3.369,0.262,Idle
0.011,-0.001,1.011,0.350,-3.334,0.254,Idle
0.010,-0.001,1.012,0.376,-3.334,0.306,Idle
0.011,-0.001,1.012,0.385,-3.360,0.245,Idle
0.010,-0.001,1.011,0.359,-3.316,0.254,Idle
0.011,-0.001,1.011,0.420,-3.342,0.298,Idle
0.011,-0.001,1.012,0.350,-3.369,0.324,Idle
